originalKdmName,ourGameName,auditDisplayName,methodToMake,sourceExpansion,sourceLocation,sourceMonsterOrEvent,ourItemType,ourSlot,ourWeaponType,ourHands,ourKeywords,card1Text,card2Text,card3Text,card4Text,passiveEffects,statusAndMechanicsTouched,weakPointRole,harvestRole,partyRole,riskOrDrawback,implementationComplexity,sourceUrl,verificationStatus
ARC BOW,Grave Arc Bow,Grave Arc Bow (ARC BOW),"Unlock: crafted, quarryDiscovery | Location: Plumery | Source: Phoenix | Cost: 1 Ash Feather; 1 Phoenix Ash",Base Game; Community Edition 2.0,Plumery,Phoenix,weapon,weapon,bow,2,"Ranged, Marking, Precise, Strange","Grave Arc Bow Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Grave Arc Bow Shot — Cost 1 Attack. [Damage: 4; Break: 5] Deal 4 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Grave Arc Bow Pinning Volley — Cost 2 Attack. [Damage: 3 x2; Status: Snared 1] Deal 3 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,Strange,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Plumery.pdf; References - PDF/Community Edition 2.0/KDM - Plumery (CE 2.0).pdf; References - PDF/Community Edition 2.0/Variant/KDM - Plumery (CE 2.0) - Variant Armor Bonus.pdf,verified
ARMOR SPIKES,Gutter Armor Spikes,Gutter Armor Spikes (ARMOR SPIKES),"Unlock: crafted, quarryDiscovery | Location: Gormery | Source: Gorm | Cost: 1 Rubbery Hide; 1 Toxic Gland; 1 Wet Bone",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Gormery,Gorm,body,body,armor,0,"Defensive, Party, WoundCare, Poison",Gutter Armor Spikes Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Gutter Armor Spikes Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, Poison, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Gormery.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Gormery (Fen's Dagger Emporium).pdf,verified
BANDAGES,Sable Bandages,Sable Bandages (BANDAGES),Unlock: crafted | Location: Skinnery | Source: Settlement | Cost: 1 Bone,Base Game; Community Edition 2.0,Skinnery,Settlement,tool,tool,bandage,0,"WoundCare, Support, Party",Sable Bandages Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Sable Bandages Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, Support, WoundCare",Uses bandage weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Skinnery.pdf; References - PDF/Community Edition 2.0/KDM - Skinnery (CE 2.0).pdf,verified
BEACON SHIELD,Beacon Guard,Beacon Guard (BEACON SHIELD),Unlock: crafted | Location: Blacksmith | Source: Settlement | Cost: 1 Bone; 1 Hide; 1 Sinew,Base Game; Community Edition 2.0; Fen's Fan Expansions / Fen's Dagger Emporium,Blacksmith,Settlement,offhand,offhand,shield,1,"Defensive, Counter, Party",Beacon Guard Raise — Cost 1 Skill. [Block: 8] Gain 8 block. Another party member gains 3 block before the next monster attack.,"Beacon Guard Bash — Cost 1 Attack. [Damage: current block, cap 20] Deal damage equal to your current block, up to 20. Then lose half your block, rounded down.","Beacon Guard Interpose — Cost 0 Skill. [Exhaust] Choose another survivor. The next time they would take damage this round, reduce it by 3. Exhaust.",,Shield Discipline: shield cards gain +2 block. Block-conversion damage is capped at 20.,Party,Uses shield weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Base Game/KDM - Blacksmith.pdf; References - PDF/Community Edition 2.0/KDM - Blacksmith (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Blacksmith (Dagger Emporium).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Blacksmith (Fen's Dagger Emporium).pdf,verified
BEAST KNUCKLE,Threaded Beast Knuckle,Threaded Beast Knuckle (BEAST KNUCKLE),"Unlock: crafted, quarryDiscovery | Location: Stone Circle | Source: Screaming Antelope | Cost: 1 Wailing Horn",Base Game; Community Edition 2.0,Stone Circle,Screaming Antelope,weapon,weapon,fistAndTooth,1,"Counter, Survival, Wound","Threaded Beast Knuckle Close Fist — Cost 0 Attack. [Damage: 4] Deal 4 damage. If this survivor has 1 HP or is wounded, deal +3.","Threaded Beast Knuckle Bite Back — Cost 1 Attack. [Damage: 5; Status: Bleed 1] Deal 5 damage. If the monster targeted this survivor last turn, deal +4 and apply Bleed 1.",Threaded Beast Knuckle Clinch — Cost 1 Skill. [Block: 2] Gain 2 block and 1 Survival. The next Counter survival action deals +3.,,Adds a risky close brawler for wounded/counter builds card package; weapon proficiency improves its weak-point and harvest role.,,Uses fistAndTooth weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Stone Circle.pdf; References - PDF/Community Edition 2.0/KDM - Stone Circle (CE 2.0).pdf,verified
BEETUGLE (HUNT PHASE),Hollow Beetugle (Hunt Phase),Hollow Beetugle (Hunt Phase) (BEETUGLE (HUNT PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Hollow Beetugle Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Hollow Beetugle Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
BEETUGLE (SHOWDOWN PHASE),Grave Beetugle (Showdown Phase),Grave Beetugle (Showdown Phase) (BEETUGLE (SHOWDOWN PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Grave Beetugle Showdown Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Grave Beetugle Showdown Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
BIRD BREAD,Kindled Bird Bread,Kindled Bird Bread (BIRD BREAD),"Unlock: crafted, quarryDiscovery | Location: Plumery | Source: Phoenix | Cost: 1 Ash Feather",Base Game; Community Edition 2.0,Plumery,Phoenix,tool,tool,tool,0,"Tool, Harvest, Retreat, Strange","Kindled Bird Bread Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Strange Focus: first Strange card each combat draws 1 and adds 1 Panic to discard; if Monster Bane matches, do not add Panic.","Harvest, Retreat, Strange",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Plumery.pdf; References - PDF/Community Edition 2.0/KDM - Plumery (CE 2.0).pdf; References - PDF/Community Edition 2.0/Variant/KDM - Plumery (CE 2.0) - Variant Armor Bonus.pdf,verified
BLACK LION ARMOR SET,Blackglass Pale Armor Set,Blackglass Pale Armor Set (BLACK LION ARMOR SET),"Unlock: crafted, quarryDiscovery | Location: Dark Catarium | Source: White Lion | Cost: 1 Pale Lion Hide; 1 Pale Lion Claw; 1 Pale Lion Sinew",Fen's Fan Expansions / Black Lion,Dark Catarium,White Lion,set,set,armor,0,"Defensive, Party, WoundCare, Predator",Blackglass Pale Armor Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Blackglass Pale Armor Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Black Lion/KDM - Dark Catarium.pdf,verified
BLACK SWORD,Blackglass Blade,Blackglass Blade (BLACK SWORD),"Unlock: crafted, quarryDiscovery, rareHarvestOrEvent | Location: Gormery | Source: Gorm | Event: promo/vignette/settlement/hunt event table | Cost: 1 Rubbery Hide; 1 Wet Bone; 1 Dense Organ",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Gormery,Gorm,weapon,weapon,sword,1,"Precise, Marking, Counter, Poison","Blackglass Blade Cut — Cost 1 Attack. [Damage: 6] Deal 6 damage. If this is your second attack this turn, deal +2.","Blackglass Blade Marking Stroke — Cost 1 Attack. [Damage: 5; Break: 3; Status: Marked] Deal 5 damage and apply Marked. If targeting a weak point, +2 break damage.",Blackglass Blade Measured Finish — Cost 2 Attack. [Damage: 10 / +4 conditional] Deal 10 damage. Deal +4 if the monster is below half HP or the weak point is Open.,,Adds a balanced Marked-payoff weapon card package; weapon proficiency improves its weak-point and harvest role.,Poison,Uses sword weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Expansions of Death/KDM - Gormery.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Gormery (Fen's Dagger Emporium).pdf,verified
BLAST SHIELD,Blast Guard,Blast Guard (BLAST SHIELD),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,offhand,offhand,shield,1,"Defensive, Counter, Party, Fire",Blast Guard Raise — Cost 1 Skill. [Block: 11] Gain 11 block. Another party member gains 3 block before the next monster attack.,"Blast Guard Bash — Cost 1 Attack. [Damage: current block, cap 20] Deal damage equal to your current block, up to 20. Then lose half your block, rounded down.","Blast Guard Interpose — Cost 0 Skill. [Exhaust] Choose another survivor. The next time they would take damage this round, reduce it by 3. Exhaust.",,Shield Discipline: shield cards gain +2 block. Block-conversion damage is capped at 20.,"Fire, Party",Uses shield weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
