duplicateGroup,equipmentName,cardName,cardId,change,beforeShortEffect,afterShortEffect,beforeFullEffect,afterFullEffect,beforeCoreFields
9,Elder Fang Knife,Elder Fang Knife — Technique,elderFangKnifeTechnique,block 1->2,Expose a fragile weak point; next knife attack gains +2 break damage. Also gain 1 block.,Expose a fragile weak point; next knife attack gains +2 break damage. Also gain 2 block.,"Expose a fragile weak point; next knife attack gains +2 break damage. Gain 1 block. If you deal no HP damage, gain +2 break damage.","Expose a fragile weak point; next knife attack gains +2 break damage. gain 2 block. If you deal no HP damage, gain +2 break damage.","{""damage"": """", ""breakDamage"": """", ""block"": ""1"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""careful"", ""mechanicFlags"": """"}"
10,Elder Fang Knife,Elder Fang Knife — Payoff,elderFangKnifePayoff,damage 3->4,"Deal 3 damage and 1 break damage. If this breaks a weak point, resolve Bleed 1 and the careful rider.","Deal 4 damage and 1 break damage. If this breaks a weak point, resolve Bleed 1 and the careful rider.","Deal 3 damage and 1 break damage. If the weak point breaks, apply Bleed 1 and resolve: If you deal no HP damage, gain +2 break damage.","Deal 4 damage and 1 break damage. If the weak point breaks, apply Bleed 1 and resolve: If you deal no HP damage, gain +2 break damage.","{""damage"": ""3"", ""breakDamage"": ""1"", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""careful"", ""mechanicFlags"": ""{\""countsAsCounter\"": false, \""firstCounterFree\"": false}""}"
11,Silver Harp,Silver Harp — Technique,silverHarpTechnique,block 2->3,"Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 2 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 3 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Gain 2 block. The quarry targets this survivor next unless another card redirects it.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. gain 3 block. The quarry targets this survivor next unless another card redirects it.","{""damage"": """", ""breakDamage"": """", ""block"": ""2"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""bait"", ""mechanicFlags"": """"}"
12,Eventide (Showdown Phase),Eventide (Showdown Phase) — Contingency,eventideShowdownPhaseContingency,consequenceReduction 3->4,"When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 1 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. You may gain Panic 1 to increase the listed number by 2.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 1 gathered resource. You may gain Panic 1 to increase the listed number by 2.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""3"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""1"", ""quirk"": ""panicBrake"", ""mechanicFlags"": """"}"
13,Pale Hunter Visage,Pale Hunter Visage — Omen,paleHunterVisageOmen,added rider woundedEdge,"Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1.","Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1; If you have any wound, add +1 break damage but gain Panic 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If you have any wound, add +1 damage but gain Panic 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If you have any wound, add +1 damage but gain Panic 1. If you have any wound, add +1 break damage but gain Panic 1.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""wounded"", ""mechanicFlags"": """"}"
14,Hooked Claw Knife,Hooked Claw Knife — Technique,hookedClawKnifeTechnique,block 3->4,Expose a fragile weak point; next knife attack gains +2 break damage. Also gain 3 block.,Expose a fragile weak point; next knife attack gains +2 break damage. Also gain 4 block.,"Expose a fragile weak point; next knife attack gains +2 break damage. Gain 3 block. If used on a hunt node, also mark one gathered resource as confirmed.","Expose a fragile weak point; next knife attack gains +2 break damage. gain 4 block. If used on a hunt node, also mark one gathered resource as confirmed.","{""damage"": """", ""breakDamage"": """", ""block"": ""3"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""retreat"", ""mechanicFlags"": """"}"
15,Rolling Armor Set,Rolling Armor Set — Brace,rollingArmorSetBrace,block 3->4,"Gain 3 block and Guarded 3. If hit before your next turn, reduce Shock or Panic by 1.","gain 4 block and Guarded 3. If hit before your next turn, reduce Shock or Panic by 1.","Gain 3 block and Guarded 3. If the next monster hit lands before your next turn, reduce Shock or Panic by 1 after damage. If this would drop you to 0 HP, resolve the card first, then die if still at 0 HP.","gain 4 block and Guarded 3. If the next monster hit lands before your next turn, reduce Shock or Panic by 1 after damage. If this would drop you to 0 HP, resolve the card first, then die if still at 0 HP.","{""damage"": """", ""breakDamage"": """", ""block"": ""3"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""lastLight"", ""mechanicFlags"": """"}"
16,Gorment Armor Set,Gorment Armor Set — Brace,gormentArmorSetBrace,block 4->5,"Gain 4 block and Guarded 3. If hit before your next turn, reduce Poison or Panic by 1.","gain 5 block and Guarded 3. If hit before your next turn, reduce Poison or Panic by 1.","Gain 4 block and Guarded 3. If the next monster hit lands before your next turn, reduce Poison or Panic by 1 after damage. Chosen ally gains Guarded 1 after this resolves.","gain 5 block and Guarded 3. If the next monster hit lands before your next turn, reduce Poison or Panic by 1 after damage. Chosen ally gains Guarded 1 after this resolves.","{""damage"": """", ""breakDamage"": """", ""block"": ""4"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""ally"", ""mechanicFlags"": """"}"
17,Gorment Visage,Gorment Visage — Omen,gormentVisageOmen,added rider panicBrake,"Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1.","Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1; You may gain Panic 1 to increase one listed value by 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If this is the only card you play this turn, gain +2 block.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If this is the only card you play this turn, gain +2 block. You may gain Panic 1 to increase one listed value by 1.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""stance"", ""mechanicFlags"": """"}"
18,Elder Earrings,Elder Earrings — Omen,elderEarringsOmen,added rider guardedAlly,"Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1.","Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1; After this resolves, one adjacent ally gains Guarded 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If you already played an attack this turn, add +1 damage or +1 block.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If you already played an attack this turn, add +1 damage or +1 block. After this resolves, one adjacent ally gains Guarded 1.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""followUp"", ""mechanicFlags"": """"}"
19,Vespertine Bow,Vespertine Bow — Technique,vespertineBowTechnique,block 4->5,"Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 4 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 5 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Gain 4 block. Chosen ally gains Guarded 1 after this resolves.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. gain 5 block. Chosen ally gains Guarded 1 after this resolves.","{""damage"": """", ""breakDamage"": """", ""block"": ""4"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""ally"", ""mechanicFlags"": """"}"
20,Gloom Sheath,Gloom Sheath — Contingency,gloomSheathContingency,consequenceReduction 2->3,"When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 1 gathered resource. If used on a hunt node, also mark one gathered resource as confirmed.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If used on a hunt node, also mark one gathered resource as confirmed.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""2"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""1"", ""quirk"": ""retreat"", ""mechanicFlags"": """"}"
21,Lantern Greaves,Lantern Greaves — Fitted Plate,lanternGreavesFittedPlate,block 5->6,"After damage is previewed, prevent 5 damage. Then give the next ally Guarded 1.","After damage is previewed, prevent 6 damage. Then give the next ally Guarded 1.","After incoming damage is previewed, prevent 5 damage with the legs slot. Then the next ally gains Guarded 1. On a failed harvest, keep one common fallback material.","After incoming damage is previewed, prevent 6 damage with the legs slot. Then the next ally gains Guarded 1. On a failed harvest, keep one common fallback material.","{""damage"": """", ""breakDamage"": """", ""block"": ""5"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""salvage"", ""mechanicFlags"": """"}"
22,Ink Bagpipes (Showdown Phase),Ink Bagpipes (Showdown Phase) — Contingency,inkBagpipesShowdownPhaseContingency,consequenceReduction 2->3,"When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 1 gathered resource. If the quarry is Marked, draw 1 then discard 1.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If the quarry is Marked, draw 1 then discard 1.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""2"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""1"", ""quirk"": ""marked"", ""mechanicFlags"": """"}"
23,Vespertine Foil,Vespertine Foil — Contingency,vespertineFoilContingency,consequenceReduction 3->4,"When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 1 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If this would drop you to 0 HP, resolve the card first, then die if still at 0 HP.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 1 gathered resource. If this would drop you to 0 HP, resolve the card first, then die if still at 0 HP.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""3"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""1"", ""quirk"": ""lastLight"", ""mechanicFlags"": """"}"
24,Rose Knight Badge,Rose Knight Badge — Omen,roseKnightBadgeOmen,added rider markedFocus,"Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1.","Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1; If the quarry is Marked, draw 1 then discard 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If the quarry is Marked, draw 1 then discard 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If the quarry is Marked, draw 1 then discard 1. If the quarry is Marked, draw 1 then discard 1.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""marked"", ""mechanicFlags"": """"}"
25,Shadow Saliva Shawl,Shadow Saliva Shawl — Contingency,shadowSalivaShawlContingency,consequenceReduction 2->3,"When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 1 gathered resource. If this is the only card you play this turn, gain +2 block.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If this is the only card you play this turn, gain +2 block.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""2"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""1"", ""quirk"": ""stance"", ""mechanicFlags"": """"}"
26,Vespertine Arrow,Vespertine Arrow — Technique,vespertineArrowTechnique,block 3->4,"Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 3 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 4 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Gain 3 block. You may gain Panic 1 to increase the listed number by 2.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. gain 4 block. You may gain Panic 1 to increase the listed number by 2.","{""damage"": """", ""breakDamage"": """", ""block"": ""3"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""panicBrake"", ""mechanicFlags"": """"}"
27,Shaxe,Shaxe — Technique,shaxeTechnique,block 2->3,Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Also gain 2 block.,Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Also gain 3 block.,"Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Gain 2 block. If you have any wound, add +1 damage but gain Panic 1.","Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. gain 3 block. If you have any wound, add +1 damage but gain Panic 1.","{""damage"": """", ""breakDamage"": """", ""block"": ""2"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""wounded"", ""mechanicFlags"": """"}"
27,Xmaxe,Xmaxe — Technique,xmaxeTechnique,block 2->4,Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Also gain 2 block.,Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Also gain 4 block.,"Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Gain 2 block. If you have any wound, add +1 damage but gain Panic 1.","Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. gain 4 block. If you have any wound, add +1 damage but gain Panic 1.","{""damage"": """", ""breakDamage"": """", ""block"": ""2"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""wounded"", ""mechanicFlags"": """"}"
28,Shaxe,Shaxe — Payoff,shaxePayoff,damage 7->8,"Deal 7 damage and 4 break damage. If this breaks a weak point, resolve Bleed 1 and the wounded rider.","Deal 8 damage and 4 break damage. If this breaks a weak point, resolve Bleed 1 and the wounded rider.","Deal 7 damage and 4 break damage. If the weak point breaks, apply Bleed 1 and resolve: If you have any wound, add +1 damage but gain Panic 1.","Deal 8 damage and 4 break damage. If the weak point breaks, apply Bleed 1 and resolve: If you have any wound, add +1 damage but gain Panic 1.","{""damage"": ""7"", ""breakDamage"": ""4"", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""wounded"", ""mechanicFlags"": ""{\""countsAsCounter\"": false, \""firstCounterFree\"": false}""}"
29,Web Eye Wreath,Web Eye Wreath — Omen,webEyeWreathOmen,added rider woundedEdge,"Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1.","Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1; If you have any wound, add +1 break damage but gain Panic 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. The quarry targets this survivor next unless another card redirects it.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. The quarry targets this survivor next unless another card redirects it. If you have any wound, add +1 break damage but gain Panic 1.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""bait"", ""mechanicFlags"": """"}"
30,The Three,The Three — Contingency,theThreeContingency,consequenceReduction 3->4,"When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 2 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 2 gathered resource.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 2 gathered resource. If a tell is Open, add +2 to the listed damage or block value.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 2 gathered resource. If a tell is Open, add +2 to the listed damage or block value.","{""damage"": """", ""breakDamage"": """", ""block"": """", ""consequenceReduction"": ""3"", ""reduction"": """", ""testBonus"": """", ""salvage"": ""2"", ""quirk"": ""openTell"", ""mechanicFlags"": """"}"
31,Pale Hunter Treads,Pale Hunter Treads — Fitted Plate,paleHunterTreadsFittedPlate,block 6->7,"After damage is previewed, prevent 6 damage. Then give the next ally Guarded 1.","After damage is previewed, prevent 7 damage. Then give the next ally Guarded 1.","After incoming damage is previewed, prevent 6 damage with the legs slot. Then the next ally gains Guarded 1. If you have no Bleed, Poison or Burn, add +1 to all listed values.","After incoming damage is previewed, prevent 7 damage with the legs slot. Then the next ally gains Guarded 1. If you have no Bleed, Poison or Burn, add +1 to all listed values.","{""damage"": """", ""breakDamage"": """", ""block"": ""6"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""cleanHands"", ""mechanicFlags"": """"}"
32,Pale Hunter Skirt,Pale Hunter Skirt — Brace,paleHunterSkirtBrace,block 2->3,"Gain 2 block and Guarded 3. If hit before your next turn, reduce Bleed or Panic by 1.","gain 3 block and Guarded 3. If hit before your next turn, reduce Bleed or Panic by 1.","Gain 2 block and Guarded 3. If the next monster hit lands before your next turn, reduce Bleed or Panic by 1 after damage. If the quarry is Marked, draw 1 then discard 1.","gain 3 block and Guarded 3. If the next monster hit lands before your next turn, reduce Bleed or Panic by 1 after damage. If the quarry is Marked, draw 1 then discard 1.","{""damage"": """", ""breakDamage"": """", ""block"": ""2"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""marked"", ""mechanicFlags"": """"}"
33,Throwing Knife,Throwing Knife — Technique,throwingKnifeTechnique,block 2->3,"Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 2 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Also gain 3 block.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. Gain 2 block. If the quarry is Marked, draw 1 then discard 1.","Mark a wing, eye or distant weak point; ranged attacks ignore Guarded 1. gain 3 block. If the quarry is Marked, draw 1 then discard 1.","{""damage"": """", ""breakDamage"": """", ""block"": ""2"", ""consequenceReduction"": """", ""reduction"": """", ""testBonus"": """", ""salvage"": """", ""quirk"": ""marked"", ""mechanicFlags"": """"}"
1000,Skleaver,Skleaver — Contingency,skleaverContingency,second pass added rider markedFocus,,"When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 1 gathered resource; If the quarry is Marked, draw 1 then discard 1.",,"When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 1 gathered resource. You may gain Panic 1 to increase the listed number by 2. If the quarry is Marked, draw 1 then discard 1.",{}
