equipmentName,weaponType,hands,colorAffinity,strategyId,strategyName,rampResource,payoffPattern,deckAdvice,cardIds,strategyAuditStatus
Bone Axe,axe,1,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,boneAxeOpeningStrike; boneAxeTechnique; boneAxePayoff,PASS: weapon assigned a survivor strategy identity.
Bone Axe (Broken),axe,1,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,boneAxeBrokenOpeningStrike; boneAxeBrokenTechnique; boneAxeBrokenPayoff,PASS: weapon assigned a survivor strategy identity.
Bone Blade,sword,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,boneBladeOpeningCut; boneBladeTechnique; boneBladePayoff,PASS: weapon assigned a survivor strategy identity.
Bone Blade (Broken),sword,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,boneBladeBrokenOpeningCut; boneBladeBrokenTechnique; boneBladeBrokenPayoff,PASS: weapon assigned a survivor strategy identity.
Bone Club,club,1,red,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,boneClubOpeningStrike; boneClubTechnique; boneClubPayoff,PASS: weapon assigned a survivor strategy identity.
Bone Knife,dagger,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,boneKnifeOpeningCut; boneKnifeTechnique; boneKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Bone Darts,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,boneDartsOpeningStrike; boneDartsTechnique; boneDartsPayoff,PASS: weapon assigned a survivor strategy identity.
Bone Pickaxe,axe,1,red,resourceHarvest,Resource Hunter,Harvest tests / weak-point breaks,"Extra resources, preserved resources, salvage and improved hunt rewards.",Pair with Purple affinity for reward spikes after a successful hunt.,bonePickaxeOpeningStrike; bonePickaxeTechnique; bonePickaxePayoff,PASS: weapon assigned a survivor strategy identity.
Bone Sickle,scythe,1,red,resourceHarvest,Resource Hunter,Harvest tests / weak-point breaks,"Extra resources, preserved resources, salvage and improved hunt rewards.",Pair with Purple affinity for reward spikes after a successful hunt.,boneSickleOpeningStrike; boneSickleTechnique; boneSicklePayoff,PASS: weapon assigned a survivor strategy identity.
Calcified Bone Knife,dagger,1,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,calcifiedBoneKnifeOpeningCut; calcifiedBoneKnifeTechnique; calcifiedBoneKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Calcified Gramber Blade,sword,1,red,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,calcifiedGramberBladeOpeningCut; calcifiedGramberBladeTechnique; calcifiedGramberBladePayoff,PASS: weapon assigned a survivor strategy identity.
Calcified Juggernaut Knife,dagger,1,red,comboTempo,Combo Tempo,Cards played this turn / cheap attacks,"Follow-up riders, extra draw, cost reduction and repeated attack bonuses.",Pair with draw/filtering so chain pieces appear together.,calcifiedJuggernautKnifeOpeningCut; calcifiedJuggernautKnifeTechnique; calcifiedJuggernautKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Calcified Zanbato,grandWeapon,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,calcifiedZanbatoOpeningStrike; calcifiedZanbatoTechnique; calcifiedZanbatoPayoff,PASS: weapon assigned a survivor strategy identity.
Fang Knife,dagger,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,fangKnifeOpeningCut; fangKnifeTechnique; fangKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Catgut Bow,bow,2,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,catgutBowOpeningStrike; catgutBowTechnique; catgutBowPayoff,PASS: weapon assigned a survivor strategy identity.
Claw Head Arrow,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,clawHeadArrowOpeningStrike; clawHeadArrowTechnique; clawHeadArrowPayoff,PASS: weapon assigned a survivor strategy identity.
Counterweighted Axe,axe,1,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,counterweightedAxeOpeningStrike; counterweightedAxeTechnique; counterweightedAxePayoff,PASS: weapon assigned a survivor strategy identity.
Daydream Knife,dagger,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,daydreamKnifeOpeningCut; daydreamKnifeTechnique; daydreamKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Dense Bone Arrows,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,denseBoneArrowsOpeningStrike; denseBoneArrowsTechnique; denseBoneArrowsPayoff,PASS: weapon assigned a survivor strategy identity.
Denticle Axe,axe,1,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,denticleAxeOpeningStrike; denticleAxeTechnique; denticleAxePayoff,PASS: weapon assigned a survivor strategy identity.
Ember Drake Bite Bolt,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,emberDrakeBiteBoltOpeningStrike; emberDrakeBiteBoltTechnique; emberDrakeBiteBoltPayoff,PASS: weapon assigned a survivor strategy identity.
Ember Drake Chakram,bow,1,red,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,emberDrakeChakramOpeningStrike; emberDrakeChakramTechnique; emberDrakeChakramPayoff,PASS: weapon assigned a survivor strategy identity.
Ember Drake Slayer,grandWeapon,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,emberDrakeSlayerOpeningStrike; emberDrakeSlayerTechnique; emberDrakeSlayerPayoff,PASS: weapon assigned a survivor strategy identity.
Ember Drake Slayer (Broken),grandWeapon,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,emberDrakeSlayerBrokenOpeningStrike; emberDrakeSlayerBrokenTechnique; emberDrakeSlayerBrokenPayoff,PASS: weapon assigned a survivor strategy identity.
Elder Fang Knife,dagger,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,elderFangKnifeOpeningCut; elderFangKnifeTechnique; elderFangKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Feather Guard,shield,1,blue,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,featherGuardShieldWall; featherGuardAnsweringBash,PASS: weapon assigned a survivor strategy identity.
Gaxe,axe,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,gaxeOpeningStrike; gaxeTechnique; gaxePayoff,PASS: weapon assigned a survivor strategy identity.
Gloom Hammer,hammer,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,gloomHammerOpeningStrike; gloomHammerTechnique; gloomHammerPayoff,PASS: weapon assigned a survivor strategy identity.
Gloom Katana,katana,2,red,comboTempo,Combo Tempo,Cards played this turn / cheap attacks,"Follow-up riders, extra draw, cost reduction and repeated attack bonuses.",Pair with draw/filtering so chain pieces appear together.,gloomKatanaOpeningStrike; gloomKatanaTechnique; gloomKatanaPayoff,PASS: weapon assigned a survivor strategy identity.
Gloom-Coated Arrow,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,gloomCoatedArrowOpeningStrike; gloomCoatedArrowTechnique; gloomCoatedArrowPayoff,PASS: weapon assigned a survivor strategy identity.
Gramber Blade,sword,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,gramberBladeOpeningCut; gramberBladeTechnique; gramberBladePayoff,PASS: weapon assigned a survivor strategy identity.
Greater Gaxe,axe,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,greaterGaxeOpeningStrike; greaterGaxeTechnique; greaterGaxePayoff,PASS: weapon assigned a survivor strategy identity.
Hardened Scrap Knife,dagger,1,red,comboTempo,Combo Tempo,Cards played this turn / cheap attacks,"Follow-up riders, extra draw, cost reduction and repeated attack bonuses.",Pair with draw/filtering so chain pieces appear together.,hardenedScrapKnifeOpeningCut; hardenedScrapKnifeTechnique; hardenedScrapKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Hollow Blade,sword,1,red,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,hollowBladeOpeningCut; hollowBladeTechnique; hollowBladePayoff,PASS: weapon assigned a survivor strategy identity.
Hollow Blade (Broken),sword,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,hollowBladeBrokenOpeningCut; hollowBladeBrokenTechnique; hollowBladeBrokenPayoff,PASS: weapon assigned a survivor strategy identity.
Hollowpoint Arrow,bow,1,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,hollowpointArrowOpeningStrike; hollowpointArrowTechnique; hollowpointArrowPayoff,PASS: weapon assigned a survivor strategy identity.
Hooded Scrap Katar,katar,1,red,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,hoodedScrapKatarOpeningCut; hoodedScrapKatarTechnique; hoodedScrapKatarPayoff,PASS: weapon assigned a survivor strategy identity.
Hooked Claw Knife,dagger,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,hookedClawKnifeOpeningCut; hookedClawKnifeTechnique; hookedClawKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Hunter Whip,whip,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,hunterWhipOpeningStrike; hunterWhipTechnique; hunterWhipPayoff,PASS: weapon assigned a survivor strategy identity.
Ink Blood Bow,bow,2,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,inkBloodBowOpeningStrike; inkBloodBowTechnique; inkBloodBowPayoff,PASS: weapon assigned a survivor strategy identity.
Ink Blade,sword,1,red,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,inkBladeOpeningCut; inkBladeTechnique; inkBladePayoff,PASS: weapon assigned a survivor strategy identity.
Juggernaut Knife,dagger,1,red,comboTempo,Combo Tempo,Cards played this turn / cheap attacks,"Follow-up riders, extra draw, cost reduction and repeated attack bonuses.",Pair with draw/filtering so chain pieces appear together.,juggernautKnifeOpeningCut; juggernautKnifeTechnique; juggernautKnifePayoff,PASS: weapon assigned a survivor strategy identity.
King Spear,spear,2,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,kingSpearOpeningStrike; kingSpearTechnique; kingSpearPayoff,PASS: weapon assigned a survivor strategy identity.
Knuckle Guard,fistAndTooth,1,blue,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,knuckleGuardOpeningStrike; knuckleGuardTechnique; knuckleGuardPayoff,PASS: weapon assigned a survivor strategy identity.
Lance of Longinus,spear,2,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,lanceOfLonginusOpeningStrike; lanceOfLonginusTechnique; lanceOfLonginusPayoff,PASS: weapon assigned a survivor strategy identity.
Lantern Knife,dagger,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,lanternKnifeOpeningCut; lanternKnifeTechnique; lanternKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Lantern Glaive,spear,2,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,lanternGlaiveOpeningStrike; lanternGlaiveTechnique; lanternGlaivePayoff,PASS: weapon assigned a survivor strategy identity.
Lantern Blade,sword,1,red,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,lanternBladeOpeningCut; lanternBladeTechnique; lanternBladePayoff,PASS: weapon assigned a survivor strategy identity.
Hunter Beast Katar,katar,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,hunterBeastKatarOpeningCut; hunterBeastKatarTechnique; hunterBeastKatarPayoff,PASS: weapon assigned a survivor strategy identity.
Hunter Slayer Cape,grandWeapon,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,hunterSlayerCapeOpeningStrike; hunterSlayerCapeTechnique; hunterSlayerCapePayoff,PASS: weapon assigned a survivor strategy identity.
Metronome,bow,2,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,metronomeOpeningStrike; metronomeTechnique; metronomePayoff,PASS: weapon assigned a survivor strategy identity.
Monster Tooth Necklace,fistAndTooth,1,red,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,monsterToothNecklaceOpeningStrike; monsterToothNecklaceTechnique; monsterToothNecklacePayoff,PASS: weapon assigned a survivor strategy identity.
Nightmare Quiver,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,nightmareQuiverOpeningStrike; nightmareQuiverTechnique; nightmareQuiverPayoff,PASS: weapon assigned a survivor strategy identity.
Nuclear Knife,dagger,1,red,comboTempo,Combo Tempo,Cards played this turn / cheap attacks,"Follow-up riders, extra draw, cost reduction and repeated attack bonuses.",Pair with draw/filtering so chain pieces appear together.,nuclearKnifeOpeningCut; nuclearKnifeTechnique; nuclearKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Nuclear Scythe,scythe,2,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,nuclearScytheOpeningStrike; nuclearScytheTechnique; nuclearScythePayoff,PASS: weapon assigned a survivor strategy identity.
Oxidized Beacon Guard,shield,1,blue,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,oxidizedBeaconGuardShieldWall; oxidizedBeaconGuardAnsweringBash,PASS: weapon assigned a survivor strategy identity.
Oxidized Beast Katar,katar,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,oxidizedBeastKatarOpeningCut; oxidizedBeastKatarTechnique; oxidizedBeastKatarPayoff,PASS: weapon assigned a survivor strategy identity.
Oxidized Lantern Knife,dagger,1,red,bleedStatus,Status Stack,Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.,oxidizedLanternKnifeOpeningCut; oxidizedLanternKnifeTechnique; oxidizedLanternKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Oxidized Lantern Glaive,spear,2,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,oxidizedLanternGlaiveOpeningStrike; oxidizedLanternGlaiveTechnique; oxidizedLanternGlaivePayoff,PASS: weapon assigned a survivor strategy identity.
Oxidized Lantern Blade,sword,1,red,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,oxidizedLanternBladeOpeningCut; oxidizedLanternBladeTechnique; oxidizedLanternBladePayoff,PASS: weapon assigned a survivor strategy identity.
Oxidized Ring Whip,whip,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,oxidizedRingWhipOpeningStrike; oxidizedRingWhipTechnique; oxidizedRingWhipPayoff,PASS: weapon assigned a survivor strategy identity.
Penumbra Bow,bow,2,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,penumbraBowOpeningStrike; penumbraBowTechnique; penumbraBowPayoff,PASS: weapon assigned a survivor strategy identity.
Perfect Slayer,grandWeapon,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,perfectSlayerOpeningStrike; perfectSlayerTechnique; perfectSlayerPayoff,PASS: weapon assigned a survivor strategy identity.
Phase Axe,axe,1,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,phaseAxeOpeningStrike; phaseAxeTechnique; phaseAxePayoff,PASS: weapon assigned a survivor strategy identity.
Rainbow Katana,bow,2,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,rainbowKatanaOpeningStrike; rainbowKatanaTechnique; rainbowKatanaPayoff,PASS: weapon assigned a survivor strategy identity.
Rainbow Katana (Broken),bow,2,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,rainbowKatanaBrokenOpeningStrike; rainbowKatanaBrokenTechnique; rainbowKatanaBrokenPayoff,PASS: weapon assigned a survivor strategy identity.
Rainbow Wing Belt,bow,2,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,rainbowWingBeltOpeningStrike; rainbowWingBeltTechnique; rainbowWingBeltPayoff,PASS: weapon assigned a survivor strategy identity.
Stitched Hide Whip,whip,1,red,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,stitchedHideWhipOpeningStrike; stitchedHideWhipTechnique; stitchedHideWhipPayoff,PASS: weapon assigned a survivor strategy identity.
Rib Blade,sword,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,ribBladeOpeningCut; ribBladeTechnique; ribBladePayoff,PASS: weapon assigned a survivor strategy identity.
Ring Whip,whip,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,ringWhipOpeningStrike; ringWhipTechnique; ringWhipPayoff,PASS: weapon assigned a survivor strategy identity.
Riot Mace,hammer,2,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,riotMaceOpeningStrike; riotMaceTechnique; riotMacePayoff,PASS: weapon assigned a survivor strategy identity.
Round Hide Guard,shield,1,blue,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,roundHideGuardShieldWall; roundHideGuardAnsweringBash,PASS: weapon assigned a survivor strategy identity.
Scoopy Club,club,1,red,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,scoopyClubOpeningStrike; scoopyClubTechnique; scoopyClubPayoff,PASS: weapon assigned a survivor strategy identity.
Scrap Knife,dagger,1,red,comboTempo,Combo Tempo,Cards played this turn / cheap attacks,"Follow-up riders, extra draw, cost reduction and repeated attack bonuses.",Pair with draw/filtering so chain pieces appear together.,scrapKnifeOpeningCut; scrapKnifeTechnique; scrapKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Scrap Guard,shield,1,blue,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,scrapGuardShieldWall; scrapGuardAnsweringBash,PASS: weapon assigned a survivor strategy identity.
Scrap Blade,sword,1,red,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,scrapBladeOpeningCut; scrapBladeTechnique; scrapBladePayoff,PASS: weapon assigned a survivor strategy identity.
Scymitaxe,axe,1,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,scymitaxeOpeningStrike; scymitaxeTechnique; scymitaxePayoff,PASS: weapon assigned a survivor strategy identity.
Shaxe,axe,1,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,shaxeOpeningStrike; shaxeTechnique; shaxePayoff,PASS: weapon assigned a survivor strategy identity.
Shielded Quiver,shield,1,blue,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,shieldedQuiverShieldWall; shieldedQuiverAnsweringBash,PASS: weapon assigned a survivor strategy identity.
Websilk Whip,whip,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,websilkWhipOpeningStrike; websilkWhipTechnique; websilkWhipPayoff,PASS: weapon assigned a survivor strategy identity.
Silver Harp,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,silverHarpOpeningStrike; silverHarpTechnique; silverHarpPayoff,PASS: weapon assigned a survivor strategy identity.
Skullcap Hammer,hammer,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,skullcapHammerOpeningStrike; skullcapHammerTechnique; skullcapHammerPayoff,PASS: weapon assigned a survivor strategy identity.
