equipmentName,weaponType,hands,loadoutCategory,weaponLimitRule,slotAuditStatus,exampleAllowedPair,cardCopyInteraction
Bone Club,club,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Bone Club + Bone Club,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Bone Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Bone Knife + Bone Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Bone Darts,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Bone Darts + Bone Darts,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Bone Pickaxe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Bone Pickaxe + Bone Pickaxe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Bone Sickle,scythe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Bone Sickle + Bone Sickle,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Calcified Bone Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Calcified Bone Knife + Calcified Bone Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Calcified Gramber Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Calcified Gramber Blade + Calcified Gramber Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Calcified Juggernaut Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Calcified Juggernaut Knife + Calcified Juggernaut Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Calcified Zanbato,grandWeapon,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Calcified Zanbato + Calcified Zanbato,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Fang Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Fang Knife + Fang Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Catgut Bow,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Catgut Bow + Catgut Bow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Claw Head Arrow,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Claw Head Arrow + Claw Head Arrow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Counterweighted Axe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Counterweighted Axe + Counterweighted Axe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Daydream Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Daydream Knife + Daydream Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Dense Bone Arrows,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Dense Bone Arrows + Dense Bone Arrows,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Denticle Axe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Denticle Axe + Denticle Axe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Ember Drake Bite Bolt,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Ember Drake Bite Bolt + Ember Drake Bite Bolt,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Ember Drake Chakram,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Ember Drake Chakram + Ember Drake Chakram,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Ember Drake Slayer,grandWeapon,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Ember Drake Slayer + Ember Drake Slayer,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Ember Drake Slayer (Broken),grandWeapon,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Ember Drake Slayer (Broken) + Ember Drake Slayer (Broken),Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Elder Fang Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Elder Fang Knife + Elder Fang Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Feather Guard,shield,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Feather Guard + Feather Guard,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Gaxe,axe,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Gaxe + Gaxe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Gloom Hammer,hammer,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Gloom Hammer + Gloom Hammer,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Gloom Katana,katana,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Gloom Katana + Gloom Katana,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Gloom-Coated Arrow,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Gloom-Coated Arrow + Gloom-Coated Arrow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Gramber Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Gramber Blade + Gramber Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Greater Gaxe,axe,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Greater Gaxe + Greater Gaxe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Hardened Scrap Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Hardened Scrap Knife + Hardened Scrap Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Hollow Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Hollow Blade + Hollow Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Hollow Blade (Broken),sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Hollow Blade (Broken) + Hollow Blade (Broken),Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Hollowpoint Arrow,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Hollowpoint Arrow + Hollowpoint Arrow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Hooded Scrap Katar,katar,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Hooded Scrap Katar + Hooded Scrap Katar,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Hooked Claw Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Hooked Claw Knife + Hooked Claw Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Hunter Whip,whip,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Hunter Whip + Hunter Whip,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Ink Blood Bow,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Ink Blood Bow + Ink Blood Bow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Ink Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Ink Blade + Ink Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Juggernaut Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Juggernaut Knife + Juggernaut Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
King Spear,spear,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,King Spear + King Spear,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Knuckle Guard,fistAndTooth,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Knuckle Guard + Knuckle Guard,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Lance of Longinus,spear,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Lance of Longinus + Lance of Longinus,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Lantern Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Lantern Knife + Lantern Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Lantern Glaive,spear,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Lantern Glaive + Lantern Glaive,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Lantern Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Lantern Blade + Lantern Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Hunter Beast Katar,katar,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Hunter Beast Katar + Hunter Beast Katar,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Hunter Slayer Cape,grandWeapon,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Hunter Slayer Cape + Hunter Slayer Cape,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Metronome,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Metronome + Metronome,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Monster Tooth Necklace,fistAndTooth,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Monster Tooth Necklace + Monster Tooth Necklace,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Nightmare Quiver,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Nightmare Quiver + Nightmare Quiver,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Nuclear Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Nuclear Knife + Nuclear Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Nuclear Scythe,scythe,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Nuclear Scythe + Nuclear Scythe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Oxidized Beacon Guard,shield,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Oxidized Beacon Guard + Oxidized Beacon Guard,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Oxidized Beast Katar,katar,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Oxidized Beast Katar + Oxidized Beast Katar,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Oxidized Lantern Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Oxidized Lantern Knife + Oxidized Lantern Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Oxidized Lantern Glaive,spear,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Oxidized Lantern Glaive + Oxidized Lantern Glaive,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Oxidized Lantern Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Oxidized Lantern Blade + Oxidized Lantern Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Oxidized Ring Whip,whip,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Oxidized Ring Whip + Oxidized Ring Whip,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Penumbra Bow,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Penumbra Bow + Penumbra Bow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Perfect Slayer,grandWeapon,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Perfect Slayer + Perfect Slayer,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Phase Axe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Phase Axe + Phase Axe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Rainbow Katana,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Rainbow Katana + Rainbow Katana,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Rainbow Katana (Broken),bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Rainbow Katana (Broken) + Rainbow Katana (Broken),Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Rainbow Wing Belt,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Rainbow Wing Belt + Rainbow Wing Belt,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Stitched Hide Whip,whip,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Stitched Hide Whip + Stitched Hide Whip,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Rib Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Rib Blade + Rib Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Ring Whip,whip,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Ring Whip + Ring Whip,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Riot Mace,hammer,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Riot Mace + Riot Mace,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
