equipmentName,originalKdmName,itemType,slot,weaponType,tier,rarity,cardId,cardName,cost,type,shortEffect,fullEffect,tags,damage,breakDamage,statusApplied,targetProfile,quirk,sourceEquipmentName,sourceOriginalName,equipmentIndex,mechanicalSignature,previousTargetProfile,universalTargeting,universalTargetingNote,colorAffinity,colorAffinityName,colorAffinitySource,canonicalQuarryId,canonicalQuarryName,weaponStrategyId,weaponStrategyName,weaponRampResource,weaponPayoffPattern,weaponStrategyNote,cardCopyEligible,baseCopiesFromOneItem,maxCopiesFromOneItem,extraCopiesUnlockableFromOneItem,copyTrainingTrackKey,copyProgressTrigger,copy2Unlock,copy3Unlock,copyLimitRule,copyAuditStatus,block,opensWeakPoint,firstCounterFree,mechanicFlags,testBonus,archiveAfterUse,consequenceReduction,salvage,prepared,panicGain,phaseRestriction,partyBlock,panicClear,duplicateCorrectionApplied,reveal,statusReduced,reduction,exhaust,guarded,grantedByEquippedArmourSets,conditionalCost,grantedByArmourSet,setId,setCompletePiecesRequired,grantedByAffinity,affinityThresholdRequired
Amber Cello (Hunt Phase),AMBER CELLO (HUNT PHASE),tool,tool,instrument,early,uncommon,amberCelloHuntPhaseHuntCall,Amber Cello (Hunt Phase) — Hunt Call,1,support,Chosen ally gains 3 block and Prepared 3. Gain Panic 1.,"Chosen ally gains 3 block and Prepared 3. If the phase is wrong for this item, also gain Panic 1. If played after blocking, your next Counter gains +2 damage.","['Support', 'Party', 'Panic']",,,,,counterReady,Amber Cello (Hunt Phase),AMBER CELLO (HUNT PHASE),5,bc709b38b9fa,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,green,Green,equipment,,Settlement,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,3,,,,,,,,3,1,hunt,,,,,,,,,,,,,,,
Amber Cello (Hunt Phase),AMBER CELLO (HUNT PHASE),tool,tool,instrument,early,uncommon,amberCelloHuntPhaseEcho,Amber Cello (Hunt Phase) — Echo,0,reaction,"After an ally breaks a weak point, give the next ally Guarded 1 or clear Panic 3.","After an ally breaks a weak point or survives a hunt event, choose: next ally gains Guarded 1, or clear Panic 3. If played after blocking, your next Counter gains +2 damage.","['Support', 'Party', 'Panic']",,,,,counterReady,Amber Cello (Hunt Phase),AMBER CELLO (HUNT PHASE),5,0f804d4c743b,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,green,Green,equipment,,Settlement,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,,,,,,1,3,,,,,,,,,,,,,
Amber Cello (Showdown Phase),AMBER CELLO (SHOWDOWN PHASE),tool,tool,instrument,early,uncommon,amberCelloShowdownPhaseWarCall,Amber Cello (Showdown Phase) — War Call,1,support,Chosen ally gains 4 block and Prepared 1. Gain Panic 1.,"Chosen ally gains 4 block and Prepared 1. If the phase is wrong for this item, also gain Panic 1. If you play a third attack this round, gain Panic 1.","['Support', 'Party', 'Panic']",,,,,frenzyCheck,Amber Cello (Showdown Phase),AMBER CELLO (SHOWDOWN PHASE),6,e96ef89a3d56,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,green,Green,equipment,,Settlement,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,4,,,,,,,,1,1,showdown,,,,,,,,,,,,,,,
Amber Cello (Showdown Phase),AMBER CELLO (SHOWDOWN PHASE),tool,tool,instrument,early,uncommon,amberCelloShowdownPhaseEcho,Amber Cello (Showdown Phase) — Echo,1,reaction,"After an ally breaks a weak point, give the next ally Guarded 1 or clear Panic 1.","After an ally breaks a weak point or survives a hunt event, choose: next ally gains Guarded 1, or clear Panic 1. If you play a third attack this round, gain Panic 1.","['Support', 'Party', 'Panic']",,,,,frenzyCheck,Amber Cello (Showdown Phase),AMBER CELLO (SHOWDOWN PHASE),6,3e67ffed16e2,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,green,Green,equipment,,Settlement,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,,,,,,1,1,,,,,,,,,,,,,
Amber Twin Knives,AMBER DAGGERS,weapon,weapon,dagger,mid,uncommon,amberTwinKnivesOpeningCut,Amber Twin Knives — Opening Cut,0,attack,Deal 4 damage. Apply Snared 2.,Deal 4 damage with Amber Twin Knives. Apply Snared 2. You may gain Panic 1 to increase the listed number by 2.,"['Quick', 'Precise', 'Harvest', 'Attack']",4,1,{'Snared': 2},Any valid target,panicBrake,Amber Twin Knives,AMBER DAGGERS,7,d1812fda9dde,Spidicules,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,silkMatriarch,Silk Matriarch,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.","Accept or generate Panic, then turn instability into bigger attacks.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Twin Knives,AMBER DAGGERS,weapon,weapon,dagger,mid,uncommon,amberTwinKnivesTechnique,Amber Twin Knives — Technique,2,skill,Expose a fragile weak point; next knife attack gains +2 break damage. Also gain 3 block. Gain Guarded 1 if first card this turn.,"Expose a fragile weak point; next knife attack gains +2 break damage. Gain 3 block. You may gain Panic 1 to increase the listed number by 2. If this is your first card this turn, gain Guarded 1.","['Quick', 'Precise', 'Harvest', 'Setup']",,,{'Guarded': 1},,panicBrake+firstCardGuarded,Amber Twin Knives,AMBER DAGGERS,7,295986c10f99,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,silkMatriarch,Silk Matriarch,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.","Accept or generate Panic, then turn instability into bigger attacks.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,3,True,False,,,,,,,,,,,True,,,,,,,,,,,,
Amber Twin Knives,AMBER DAGGERS,weapon,weapon,dagger,mid,uncommon,amberTwinKnivesPayoff,Amber Twin Knives — Payoff,2,attack,"Deal 7 damage and 2 break damage. If this breaks a weak point, resolve Snared 1 and the panicBrake rider.","Deal 7 damage and 2 break damage. If the weak point breaks, apply Snared 1 and resolve: You may gain Panic 1 to increase the listed number by 2.","['Quick', 'Precise', 'Harvest', 'Payoff', 'WeakPoint']",7,2,{'Snared': 1},Any valid target,panicBrake,Amber Twin Knives,AMBER DAGGERS,7,e691c0526a5c,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,silkMatriarch,Silk Matriarch,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.","Accept or generate Panic, then turn instability into bigger attacks.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,"{'countsAsCounter': False, 'firstCounterFree': False}",,,,,,,,,,,,,,,,,,,,,,
Amber Edge,AMBER EDGE,tool,tool,tool,mid,uncommon,amberEdgeUse,Amber Edge — Use,1,skill,"Gain +4 to the next harvest, retreat, or weak-point test. If it fails, apply Snared 3 to the quarry or clear it from a survivor.","Gain +4 to the next harvest, retreat, or weak-point test linked to this equipment. On failure, either apply Snared 3 to the quarry or clear that status from a survivor. The quarry targets this survivor next unless another card redirects it.","['Tool', 'Harvest', 'Retreat']",,,{'Snared': 3},,bait,Amber Edge,AMBER EDGE,8,58e406e977fd,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,purple,Purple,equipment,silkMatriarch,Silk Matriarch,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,4,False,,,,,,,,,,,,,,,,,,,,
Amber Edge,AMBER EDGE,tool,tool,tool,mid,uncommon,amberEdgeContingency,Amber Edge — Contingency,1,reaction,"When a hunt or monster consequence is previewed, reduce it by 4; on retreat, preserve 1 gathered resource. Gain Guarded 1 if first card this turn.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 4. If retreating, preserve 1 gathered resource. The quarry targets this survivor next unless another card redirects it. If this is your first card this turn, gain Guarded 1.","['Tool', 'Harvest', 'Retreat']",,,{'Guarded': 1},,bait+firstCardGuarded,Amber Edge,AMBER EDGE,8,6badf28c03ae,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,purple,Purple,equipment,silkMatriarch,Silk Matriarch,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,4,1,,,,,,True,,,,,,,,,,,,
Amber Poleaxe,AMBER POLEAXE,weapon,weapon,axe,mid,uncommon,amberPoleaxeOpeningStrike,Amber Poleaxe — Opening Strike,1,attack,Deal 6 damage. Apply Snared 1.,"Deal 6 damage with Amber Poleaxe. Apply Snared 1. If used on a hunt node, also mark one gathered resource as confirmed.","['Heavy', 'Brutal', 'Harvest', 'Attack']",6,2,{'Snared': 1},Any valid target,retreat,Amber Poleaxe,AMBER POLEAXE,9,d78534bf7689,Spidicules,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,silkMatriarch,Silk Matriarch,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.","Build slowly into huge single hits, guard breaks and expensive attacks.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Poleaxe,AMBER POLEAXE,weapon,weapon,axe,mid,uncommon,amberPoleaxeTechnique,Amber Poleaxe — Technique,3,skill,Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Also gain 2 block.,"Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Gain 2 block. If used on a hunt node, also mark one gathered resource as confirmed.","['Heavy', 'Brutal', 'Harvest', 'Setup']",,,,,retreat,Amber Poleaxe,AMBER POLEAXE,9,8ca45ba6e435,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,silkMatriarch,Silk Matriarch,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.","Build slowly into huge single hits, guard breaks and expensive attacks.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,2,True,False,,,,,,,,,,,,,,,,,,,,,,,
Amber Poleaxe,AMBER POLEAXE,weapon,weapon,axe,mid,uncommon,amberPoleaxePayoff,Amber Poleaxe — Payoff,3,attack,"Deal 8 damage and 3 break damage. If this breaks a weak point, resolve Snared 1 and the retreat rider.","Deal 8 damage and 3 break damage. If the weak point breaks, apply Snared 1 and resolve: If used on a hunt node, also mark one gathered resource as confirmed.","['Heavy', 'Brutal', 'Harvest', 'Payoff', 'WeakPoint']",8,3,{'Snared': 1},Any valid target,retreat,Amber Poleaxe,AMBER POLEAXE,9,c98a1796b723,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,red,Red,equipment,silkMatriarch,Silk Matriarch,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.","Build slowly into huge single hits, guard breaks and expensive attacks.",True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,"{'countsAsCounter': False, 'firstCounterFree': False}",,,,,,,,,,,,,,,,,,,,,,
Antelope Visage,ANTELOPE MASK,charm,head,charm,mid,uncommon,antelopeVisageOmen,Antelope Visage — Omen,0,skill,"Peek at the next quarry card or weak-point reward. You may mark it; if you do, gain Panic 1.","Peek at the next quarry AI, hit-location or weak-point reward, depending on screen. You may mark it. If marked, gain Panic 1. If you deal no HP damage, gain +2 break damage.","['Charm', 'Passive', 'Survival']",,,,,careful,Antelope Visage,ANTELOPE MASK,10,3a84824778f0,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,blue,Blue,equipment,silkMatriarch,Silk Matriarch,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,,,,1,,,,,1,,,,,,,,,,,
Antelope Visage,ANTELOPE MASK,charm,head,charm,mid,uncommon,antelopeVisageGlimmer,Antelope Visage — Glimmer,0,reaction,"When Snared or a hunt consequence would affect you, reduce it by 3; exhaust this charm.","When Snared, Panic, or a hunt consequence would affect this survivor, reduce it by 3; exhaust this charm until the next settlement phase. If you deal no HP damage, gain +2 break damage.","['Charm', 'Passive', 'Survival']",,,,,careful,Antelope Visage,ANTELOPE MASK,10,eb1310a03037,,True,Effect resolves against the current combat target; it never requires fighting a specific quarry.,blue,Blue,equipment,silkMatriarch,Silk Matriarch,,,,,,True,1,3,2,survivorId:gearInstanceId:cardId,Gain practice when this card is successfully played while its item instance is equipped.,3 successful plays + 1 matching/generic resource.,6 total successful plays + 1 rare/matching quarry resource or 2 generic resources.,Runtime deck may include 1–3 copies of this card from one equipped item instance; never more than 3 from that item.,PASS: card can be trained up to 3 copies from one item instance.,,,,,,,,,,,,,,,,Snared,3,True,,,,,,,,
